"","Saison","Spieltag","Datum","Anpfiff","Heim","Gast","Tore.Heim","Tore.Gast","Tore.Heim.Halbzeit","Tore.Gast.Halbzeit"
"9280","1993/1994",18,1994-11-27,"15:30","SC Freiburg","FC Bayern Muenchen",3,1,1,0
"9281","1993/1994",18,1994-11-27,"15:30","Karlsruher SC","Borussia Dortmund",3,3,3,3
"9282","1993/1994",18,1994-11-27,"15:30","Bayer Leverkusen","MSV Duisburg",2,1,1,0
"9283","1993/1994",18,1994-11-27,"15:30","1. FC Nuernberg","Hamburger SV",0,1,0,1
"9284","1993/1994",18,1994-11-27,"15:30","VfB Stuttgart","SV Werder Bremen",0,0,0,0
"9285","1993/1994",19,1994-12-03,"20:00","Borussia Dortmund","FC Schalke 04",1,1,0,0
"9286","1993/1994",19,1994-12-03,"20:00","Borussia Moenchengladbach","1. FC Kaiserslautern",3,1,0,0
"9287","1993/1994",19,1994-12-04,"15:30","SV Werder Bremen","Eintracht Frankfurt",1,0,0,0
"9288","1993/1994",19,1994-12-04,"15:30","Hamburger SV","Karlsruher SC",1,1,1,0
"9289","1993/1994",19,1994-12-04,"15:30","1. FC Koeln","1. FC Nuernberg",0,1,0,0
"9290","1993/1994",19,1994-12-04,"15:30","VfB Leipzig","VfB Stuttgart",0,0,0,0
"9291","1993/1994",19,1994-12-04,"15:30","FC Bayern Muenchen","Bayer Leverkusen",1,1,0,0
"9292","1993/1994",19,1994-12-04,"15:30","SG Wattenscheid 09","SC Freiburg",3,1,1,0
"9293","1993/1994",19,1994-12-05,"18:00","MSV Duisburg","Dynamo Dresden",1,1,1,0
"9294","1993/1994",20,1994-12-10,"20:00","Dynamo Dresden","FC Bayern Muenchen",1,1,1,0
"9295","1993/1994",20,1994-12-10,"20:00","1. FC Nuernberg","Borussia Moenchengladbach",2,4,1,2
"9296","1993/1994",20,1994-12-10,"20:00","VfB Stuttgart","MSV Duisburg",4,0,3,0
"9297","1993/1994",20,1994-12-11,"15:30","SC Freiburg","Borussia Dortmund",4,1,1,0
"9298","1993/1994",20,1994-12-11,"15:30","1. FC Kaiserslautern","Eintracht Frankfurt",1,1,1,1
"9299","1993/1994",20,1994-12-11,"15:30","Karlsruher SC","1. FC Koeln",2,0,1,0
"9300","1993/1994",20,1994-12-11,"15:30","VfB Leipzig","SV Werder Bremen",1,1,1,0
"9301","1993/1994",20,1994-12-11,"15:30","Bayer Leverkusen","SG Wattenscheid 09",1,1,1,1
"9302","1993/1994",20,1994-12-11,"15:30","FC Schalke 04","Hamburger SV",1,0,0,0
"9303","1993/1994",21,1994-02-11,"19:30","SG Wattenscheid 09","Dynamo Dresden",1,1,1,1
"9304","1993/1994",21,1994-02-11,"20:00","Borussia Moenchengladbach","Karlsruher SC",1,2,1,0
"9305","1993/1994",21,1994-02-12,"15:30","SV Werder Bremen","1. FC Kaiserslautern",2,0,2,0
"9306","1993/1994",21,1994-02-12,"15:30","Borussia Dortmund","Bayer Leverkusen",1,0,1,0
"9307","1993/1994",21,1994-02-12,"15:30","MSV Duisburg","VfB Leipzig",2,1,1,0
"9308","1993/1994",21,1994-02-12,"15:30","Eintracht Frankfurt","1. FC Nuernberg",1,1,1,1
"9309","1993/1994",21,1994-02-12,"15:30","Hamburger SV","SC Freiburg",1,1,0,1
"9310","1993/1994",21,1994-02-13,"20:00","FC Bayern Muenchen","VfB Stuttgart",1,3,1,1
"9311","1993/1994",21,1994-02-16,"20:00","1. FC Koeln","FC Schalke 04",1,1,1,1
"9312","1993/1994",22,1994-02-18,"19:30","MSV Duisburg","SV Werder Bremen",1,0,0,0
"9313","1993/1994",22,1994-02-18,"20:00","Dynamo Dresden","Borussia Dortmund",3,0,1,0
"9314","1993/1994",22,1994-02-18,"20:00","VfB Stuttgart","SG Wattenscheid 09",3,0,0,0
"9315","1993/1994",22,1994-02-19,"15:30","SC Freiburg","1. FC Koeln",2,4,0,2
"9316","1993/1994",22,1994-02-19,"15:30","Karlsruher SC","Eintracht Frankfurt",1,0,1,0
"9317","1993/1994",22,1994-02-19,"15:30","VfB Leipzig","FC Bayern Muenchen",1,3,0,3
"9318","1993/1994",22,1994-02-19,"15:30","Bayer Leverkusen","Hamburger SV",1,2,1,0
"9319","1993/1994",22,1994-02-19,"15:30","1. FC Nuernberg","1. FC Kaiserslautern",0,2,0,1
"9320","1993/1994",22,1994-02-19,"15:30","FC Schalke 04","Borussia Moenchengladbach",2,1,1,0
"9321","1993/1994",23,1994-02-25,"20:00","SV Werder Bremen","1. FC Nuernberg",2,2,1,1
"9322","1993/1994",23,1994-02-26,"15:30","Eintracht Frankfurt","FC Schalke 04",1,3,0,1
"9323","1993/1994",23,1994-02-26,"15:30","Hamburger SV","Dynamo Dresden",1,1,0,0
"9324","1993/1994",23,1994-02-26,"15:30","1. FC Kaiserslautern","Karlsruher SC",0,0,0,0
"9325","1993/1994",23,1994-02-26,"15:30","1. FC Koeln","Bayer Leverkusen",1,1,0,1
"9326","1993/1994",23,1994-02-26,"15:30","Borussia Moenchengladbach","SC Freiburg",1,1,1,1
"9327","1993/1994",23,1994-02-26,"15:30","FC Bayern Muenchen","MSV Duisburg",4,0,4,0
"9328","1993/1994",23,1994-02-27,"18:00","SG Wattenscheid 09","VfB Leipzig",2,2,1,1
"9329","1993/1994",23,1994-03-08,"20:00","Borussia Dortmund","VfB Stuttgart",1,2,0,0
"9330","1993/1994",24,1994-03-04,"19:30","MSV Duisburg","SG Wattenscheid 09",2,1,2,1
"9331","1993/1994",24,1994-03-04,"20:00","Dynamo Dresden","1. FC Koeln",1,1,0,1
"9332","1993/1994",24,1994-03-05,"15:30","Karlsruher SC","1. FC Nuernberg",3,2,0,1
"9333","1993/1994",24,1994-03-05,"15:30","VfB Leipzig","Borussia Dortmund",2,3,1,0
"9334","1993/1994",24,1994-03-05,"15:30","Bayer Leverkusen","Borussia Moenchengladbach",0,1,0,1
"9335","1993/1994",24,1994-03-05,"15:30","FC Bayern Muenchen","SV Werder Bremen",2,0,0,0
"9336","1993/1994",24,1994-03-05,"15:30","FC Schalke 04","1. FC Kaiserslautern",2,0,0,0
"9337","1993/1994",24,1994-03-05,"15:30","VfB Stuttgart","Hamburger SV",4,0,0,0
"9338","1993/1994",24,1994-03-06,"18:00","SC Freiburg","Eintracht Frankfurt",1,3,1,2
"9339","1993/1994",25,1994-03-11,"20:00","Borussia Dortmund","MSV Duisburg",2,1,1,0
"9340","1993/1994",25,1994-03-11,"20:00","Eintracht Frankfurt","Bayer Leverkusen",2,0,1,0
"9341","1993/1994",25,1994-03-12,"15:30","SV Werder Bremen","Karlsruher SC",0,2,0,0
"9342","1993/1994",25,1994-03-12,"15:30","Hamburger SV","VfB Leipzig",3,0,2,0
"9343","1993/1994",25,1994-03-12,"15:30","1. FC Kaiserslautern","SC Freiburg",1,0,1,0
"9344","1993/1994",25,1994-03-12,"15:30","Borussia Moenchengladbach","Dynamo Dresden",2,1,2,1
"9345","1993/1994",25,1994-03-12,"15:30","1. FC Nuernberg","FC Schalke 04",1,0,0,0
"9346","1993/1994",25,1994-03-12,"15:30","SG Wattenscheid 09","FC Bayern Muenchen",1,3,0,0
"9347","1993/1994",25,1994-03-13,"18:00","1. FC Koeln","VfB Stuttgart",3,1,1,1
"9348","1993/1994",26,1994-03-18,"19:30","MSV Duisburg","Hamburger SV",0,1,0,0
"9349","1993/1994",26,1994-03-18,"20:00","VfB Leipzig","1. FC Koeln",2,3,0,0
"9350","1993/1994",26,1994-03-19,"15:30","Dynamo Dresden","Eintracht Frankfurt",0,4,0,1
"9351","1993/1994",26,1994-03-19,"15:30","SC Freiburg","1. FC Nuernberg",0,0,0,0
"9352","1993/1994",26,1994-03-19,"15:30","Bayer Leverkusen","1. FC Kaiserslautern",3,2,1,1
"9353","1993/1994",26,1994-03-19,"15:30","FC Schalke 04","Karlsruher SC",2,0,0,0
"9354","1993/1994",26,1994-03-19,"15:30","VfB Stuttgart","Borussia Moenchengladbach",3,0,2,0
"9355","1993/1994",26,1994-03-20,"18:00","FC Bayern Muenchen","Borussia Dortmund",0,0,0,0
"9356","1993/1994",26,1994-03-22,"19:30","SG Wattenscheid 09","SV Werder Bremen",2,2,1,1
"9357","1993/1994",27,1994-03-25,"20:00","SV Werder Bremen","FC Schalke 04",0,1,0,1
"9358","1993/1994",27,1994-03-25,"20:00","1. FC Kaiserslautern","Dynamo Dresden",0,0,0,0
"9359","1993/1994",27,1994-03-25,"20:00","Karlsruher SC","SC Freiburg",2,1,1,1
"9360","1993/1994",27,1994-03-26,"15:30","Borussia Dortmund","SG Wattenscheid 09",2,0,1,0
"9361","1993/1994",27,1994-03-26,"15:30","Eintracht Frankfurt","VfB Stuttgart",0,0,0,0
"9362","1993/1994",27,1994-03-26,"15:30","1. FC Koeln","MSV Duisburg",1,0,1,0
"9363","1993/1994",27,1994-03-26,"15:30","Borussia Moenchengladbach","VfB Leipzig",6,1,3,0
"9364","1993/1994",27,1994-03-26,"15:30","1. FC Nuernberg","Bayer Leverkusen",2,3,1,1
"9365","1993/1994",27,1994-03-27,"20:00","Hamburger SV","FC Bayern Muenchen",1,2,0,0
"9366","1993/1994",28,1994-03-31,"19:30","MSV Duisburg","Borussia Moenchengladbach",2,0,1,0
"9367","1993/1994",28,1994-03-31,"19:30","SG Wattenscheid 09","Hamburger SV",3,1,0,0
"9368","1993/1994",28,1994-03-31,"20:00","Dynamo Dresden","1. FC Nuernberg",1,1,0,1
"9369","1993/1994",28,1994-03-31,"20:00","VfB Stuttgart","1. FC Kaiserslautern",1,1,1,1
"9370","1993/1994",28,1994-04-02,"15:30","Borussia Dortmund","SV Werder Bremen",3,2,0,1
"9371","1993/1994",28,1994-04-02,"15:30","SC Freiburg","FC Schalke 04",2,3,1,1
"9372","1993/1994",28,1994-04-02,"15:30","VfB Leipzig","Eintracht Frankfurt",1,0,1,0
"9373","1993/1994",28,1994-04-02,"15:30","Bayer Leverkusen","Karlsruher SC",3,1,1,0
"9374","1993/1994",28,1994-04-02,"15:30","FC Bayern Muenchen","1. FC Koeln",1,0,0,0
"9375","1993/1994",29,1994-04-05,"20:00","Hamburger SV","Borussia Dortmund",0,0,0,0
"9376","1993/1994",29,1994-04-05,"20:00","1. FC Kaiserslautern","VfB Leipzig",1,0,0,0
"9377","1993/1994",29,1994-04-05,"20:00","1. FC Koeln","SG Wattenscheid 09",3,2,2,0
"9378","1993/1994",29,1994-04-05,"20:00","Borussia Moenchengladbach","FC Bayern Muenchen",2,0,0,0
"9379","1993/1994",29,1994-04-05,"20:00","1. FC Nuernberg","VfB Stuttgart",1,0,0,0
"9380","1993/1994",29,1994-04-06,"20:00","SV Werder Bremen","SC Freiburg",3,2,2,1
"9381","1993/1994",29,1994-04-06,"20:00","Eintracht Frankfurt","MSV Duisburg",1,2,0,1
"9382","1993/1994",29,1994-04-06,"20:00","Karlsruher SC","Dynamo Dresden",1,0,0,0
"9383","1993/1994",29,1994-04-06,"20:00","FC Schalke 04","Bayer Leverkusen",1,1,1,0
"9384","1993/1994",30,1994-04-08,"20:00","Borussia Dortmund","1. FC Koeln",2,1,2,1
"9385","1993/1994",30,1994-04-08,"20:00","VfB Leipzig","1. FC Nuernberg",0,2,0,1
"9386","1993/1994",30,1994-04-09,"15:30","Dynamo Dresden","FC Schalke 04",1,0,0,0
"9387","1993/1994",30,1994-04-09,"15:30","Hamburger SV","SV Werder Bremen",1,1,1,1
"9388","1993/1994",30,1994-04-09,"15:30","Bayer Leverkusen","SC Freiburg",2,1,1,0
"9389","1993/1994",30,1994-04-09,"15:30","FC Bayern Muenchen","Eintracht Frankfurt",2,1,1,1
"9390","1993/1994",30,1994-04-09,"15:30","VfB Stuttgart","Karlsruher SC",3,0,1,0
"9391","1993/1994",30,1994-04-09,"15:30","SG Wattenscheid 09","Borussia Moenchengladbach",3,1,1,1
"9392","1993/1994",30,1994-04-10,"18:00","MSV Duisburg","1. FC Kaiserslautern",1,7,0,1
"9393","1993/1994",31,1994-04-14,"20:00","1. FC Kaiserslautern","FC Bayern Muenchen",4,0,0,0
"9394","1993/1994",31,1994-04-15,"19:30","SC Freiburg","Dynamo Dresden",0,1,0,0
"9395","1993/1994",31,1994-04-15,"20:00","1. FC Koeln","Hamburger SV",3,0,1,0
"9396","1993/1994",31,1994-04-16,"15:30","SV Werder Bremen","Bayer Leverkusen",2,1,1,0
"9397","1993/1994",31,1994-04-16,"15:30","Eintracht Frankfurt","SG Wattenscheid 09",5,1,2,0
"9398","1993/1994",31,1994-04-16,"15:30","Karlsruher SC","VfB Leipzig",3,2,2,0
"9399","1993/1994",31,1994-04-16,"15:30","1. FC Nuernberg","MSV Duisburg",0,0,0,0
"9400","1993/1994",31,1994-04-16,"15:30","FC Schalke 04","VfB Stuttgart",0,1,0,1
"9401","1993/1994",31,1994-04-17,"18:00","Borussia Moenchengladbach","Borussia Dortmund",0,0,0,0
"9402","1993/1994",32,1994-04-22,"19:30","SG Wattenscheid 09","1. FC Kaiserslautern",0,2,0,0
"9403","1993/1994",32,1994-04-22,"20:00","SV Werder Bremen","1. FC Koeln",3,1,2,1
"9404","1993/1994",32,1994-04-23,"15:30","Borussia Dortmund","Eintracht Frankfurt",2,0,1,0
"9405","1993/1994",32,1994-04-23,"15:30","MSV Duisburg","Karlsruher SC",1,2,0,0
"9406","1993/1994",32,1994-04-23,"15:30","Hamburger SV","Borussia Moenchengladbach",1,3,0,1
"9407","1993/1994",32,1994-04-23,"15:30","VfB Leipzig","FC Schalke 04",2,2,0,2
"9408","1993/1994",32,1994-04-23,"15:30","VfB Stuttgart","SC Freiburg",0,4,0,1
"9409","1993/1994",32,1994-04-24,"18:00","Bayer Leverkusen","Dynamo Dresden",1,1,0,0
"9410","1993/1994",32,1994-05-03,"20:15","FC Bayern Muenchen","1. FC Nuernberg",5,0,0,0
"9411","1993/1994",33,1994-04-30,"15:30","Dynamo Dresden","SV Werder Bremen",1,0,0,0
"9412","1993/1994",33,1994-04-30,"15:30","Eintracht Frankfurt","Hamburger SV",1,1,1,1
"9413","1993/1994",33,1994-04-30,"15:30","SC Freiburg","VfB Leipzig",1,0,0,0
"9414","1993/1994",33,1994-04-30,"15:30","1. FC Kaiserslautern","Borussia Dortmund",2,0,1,0
"9415","1993/1994",33,1994-04-30,"15:30","Karlsruher SC","FC Bayern Muenchen",1,1,1,1
"9416","1993/1994",33,1994-04-30,"15:30","Bayer Leverkusen","VfB Stuttgart",1,1,0,1
"9417","1993/1994",33,1994-04-30,"15:30","Borussia Moenchengladbach","1. FC Koeln",4,1,0,1
"9418","1993/1994",33,1994-04-30,"15:30","1. FC Nuernberg","SG Wattenscheid 09",4,1,2,0
"9419","1993/1994",33,1994-04-30,"15:30","FC Schalke 04","MSV Duisburg",1,3,0,1
"9420","1993/1994",34,1994-05-07,"15:30","SV Werder Bremen","Borussia Moenchengladbach",4,2,1,1
"9421","1993/1994",34,1994-05-07,"15:30","Borussia Dortmund","1. FC Nuernberg",4,1,2,1
"9422","1993/1994",34,1994-05-07,"15:30","MSV Duisburg","SC Freiburg",0,2,0,1
"9423","1993/1994",34,1994-05-07,"15:30","Hamburger SV","1. FC Kaiserslautern",1,3,1,1
"9424","1993/1994",34,1994-05-07,"15:30","1. FC Koeln","Eintracht Frankfurt",2,3,0,1
"9425","1993/1994",34,1994-05-07,"15:30","VfB Leipzig","Bayer Leverkusen",2,3,1,2
"9426","1993/1994",34,1994-05-07,"15:30","FC Bayern Muenchen","FC Schalke 04",2,0,0,0
"9427","1993/1994",34,1994-05-07,"15:30","VfB Stuttgart","Dynamo Dresden",3,0,2,0
"9428","1993/1994",34,1994-05-07,"15:30","SG Wattenscheid 09","Karlsruher SC",5,1,2,0
"9429","1994/1995",1,1994-08-19,"20:00","Bayer Leverkusen","1. FC Kaiserslautern",0,1,0,0
"9430","1994/1995",1,1994-08-19,"20:00","FC Schalke 04","Borussia Moenchengladbach",1,1,1,0
"9431","1994/1995",1,1994-08-19,"20:00","VfB Stuttgart","Hamburger SV",2,1,0,0
"9432","1994/1995",1,1994-08-20,"15:30","Borussia Dortmund","TSV 1860 Muenchen",4,0,2,0
"9433","1994/1995",1,1994-08-20,"15:30","Dynamo Dresden","SV Werder Bremen",1,1,1,1
"9434","1994/1995",1,1994-08-20,"15:30","Eintracht Frankfurt","1. FC Koeln",0,0,0,0
"9435","1994/1995",1,1994-08-20,"15:30","Karlsruher SC","SC Freiburg",2,0,1,0
"9436","1994/1995",1,1994-08-20,"15:30","FC Bayern Muenchen","VfL Bochum",3,1,0,0
"9437","1994/1995",1,1994-08-20,"15:30","KFC Uerdingen 05","MSV Duisburg",1,1,0,1
"9438","1994/1995",2,1994-08-23,"19:30","SC Freiburg","FC Bayern Muenchen",5,1,3,1
"9439","1994/1995",2,1994-08-23,"20:00","VfL Bochum","Dynamo Dresden",2,0,1,0
"9440","1994/1995",2,1994-08-23,"20:00","1. FC Koeln","Borussia Dortmund",1,6,1,3
"9441","1994/1995",2,1994-08-23,"20:00","TSV 1860 Muenchen","VfB Stuttgart",0,2,0,0
"9442","1994/1995",2,1994-08-23,"20:15","1. FC Kaiserslautern","Eintracht Frankfurt",1,1,0,0
"9443","1994/1995",2,1994-08-24,"18:00","MSV Duisburg","FC Schalke 04",2,2,0,1
"9444","1994/1995",2,1994-08-24,"20:00","SV Werder Bremen","Bayer Leverkusen",3,2,3,1
"9445","1994/1995",2,1994-08-24,"20:00","Hamburger SV","KFC Uerdingen 05",0,0,0,0
"9446","1994/1995",2,1994-08-24,"20:00","Borussia Moenchengladbach","Karlsruher SC",2,2,0,0
"9447","1994/1995",3,1994-08-26,"20:00","Borussia Dortmund","1. FC Kaiserslautern",2,1,1,0
"9448","1994/1995",3,1994-08-26,"20:00","Dynamo Dresden","SC Freiburg",1,3,0,1
"9449","1994/1995",3,1994-08-27,"15:30","SV Werder Bremen","VfL Bochum",3,0,0,0
"9450","1994/1995",3,1994-08-27,"15:30","Karlsruher SC","MSV Duisburg",4,1,2,1
"9451","1994/1995",3,1994-08-27,"15:30","FC Bayern Muenchen","Borussia Moenchengladbach",3,0,2,0
"9452","1994/1995",3,1994-08-27,"15:30","FC Schalke 04","Hamburger SV",0,1,0,0
"9453","1994/1995",3,1994-08-27,"15:30","VfB Stuttgart","1. FC Koeln",2,2,2,1
"9454","1994/1995",3,1994-08-27,"15:30","KFC Uerdingen 05","TSV 1860 Muenchen",1,1,1,0
"9455","1994/1995",3,1994-08-28,"18:00","Bayer Leverkusen","Eintracht Frankfurt",4,0,2,0
"9456","1994/1995",4,1994-09-02,"19:30","MSV Duisburg","FC Bayern Muenchen",0,3,0,3
"9457","1994/1995",4,1994-09-02,"19:30","SC Freiburg","SV Werder Bremen",1,3,1,2
"9458","1994/1995",4,1994-09-02,"20:00","Borussia Moenchengladbach","Dynamo Dresden",2,0,0,0
"9459","1994/1995",4,1994-09-03,"15:30","VfL Bochum","Bayer Leverkusen",1,3,0,1
"9460","1994/1995",4,1994-09-03,"15:30","Eintracht Frankfurt","Borussia Dortmund",4,1,1,1
"9461","1994/1995",4,1994-09-03,"15:30","Hamburger SV","Karlsruher SC",3,1,0,1
"9462","1994/1995",4,1994-09-03,"15:30","1. FC Kaiserslautern","VfB Stuttgart",3,2,2,1
"9463","1994/1995",4,1994-09-03,"15:30","1. FC Koeln","KFC Uerdingen 05",2,0,0,0
"9464","1994/1995",4,1994-09-03,"15:30","TSV 1860 Muenchen","FC Schalke 04",0,1,0,1
"9465","1994/1995",5,1994-09-16,"20:00","VfL Bochum","SC Freiburg",1,3,0,2
"9466","1994/1995",5,1994-09-16,"20:00","Karlsruher SC","TSV 1860 Muenchen",3,1,2,0
"9467","1994/1995",5,1994-09-17,"15:30","SV Werder Bremen","Borussia Moenchengladbach",1,0,1,0
"9468","1994/1995",5,1994-09-17,"15:30","Dynamo Dresden","MSV Duisburg",4,2,1,1
"9469","1994/1995",5,1994-09-17,"15:30","Bayer Leverkusen","Borussia Dortmund",2,2,1,1
"9470","1994/1995",5,1994-09-17,"15:30","FC Bayern Muenchen","Hamburger SV",1,1,0,1
"9471","1994/1995",5,1994-09-17,"15:30","FC Schalke 04","1. FC Koeln",3,1,1,1
"9472","1994/1995",5,1994-09-17,"15:30","KFC Uerdingen 05","1. FC Kaiserslautern",1,3,0,1
"9473","1994/1995",5,1994-09-18,"18:00","VfB Stuttgart","Eintracht Frankfurt",4,1,2,1
"9474","1994/1995",6,1994-09-21,"20:15","TSV 1860 Muenchen","FC Bayern Muenchen",1,3,0,1
"9475","1994/1995",6,1994-09-23,"19:30","MSV Duisburg","SV Werder Bremen",0,2,0,1
"9476","1994/1995",6,1994-09-23,"20:00","Eintracht Frankfurt","KFC Uerdingen 05",0,3,0,2
"9477","1994/1995",6,1994-09-24,"15:30","Borussia Dortmund","VfB Stuttgart",5,0,3,0
"9478","1994/1995",6,1994-09-24,"15:30","SC Freiburg","Bayer Leverkusen",1,1,1,1
"9479","1994/1995",6,1994-09-24,"15:30","Hamburger SV","Dynamo Dresden",2,1,0,0
"9480","1994/1995",6,1994-09-24,"15:30","1. FC Kaiserslautern","FC Schalke 04",3,1,1,1
"9481","1994/1995",6,1994-09-24,"15:30","1. FC Koeln","Karlsruher SC",3,4,2,2
"9482","1994/1995",6,1994-09-24,"15:30","Borussia Moenchengladbach","VfL Bochum",7,1,4,0
"9483","1994/1995",7,1994-09-30,"20:00","VfL Bochum","MSV Duisburg",1,0,0,0
"9484","1994/1995",7,1994-09-30,"20:00","Dynamo Dresden","TSV 1860 Muenchen",1,1,1,0
"9485","1994/1995",7,1994-10-01,"15:30","Karlsruher SC","1. FC Kaiserslautern",3,3,0,3
"9486","1994/1995",7,1994-10-01,"15:30","Bayer Leverkusen","VfB Stuttgart",3,1,1,0
"9487","1994/1995",7,1994-10-01,"15:30","FC Bayern Muenchen","1. FC Koeln",2,2,0,2
"9488","1994/1995",7,1994-10-01,"15:30","FC Schalke 04","Eintracht Frankfurt",0,0,0,0
"9489","1994/1995",7,1994-10-01,"15:30","KFC Uerdingen 05","Borussia Dortmund",0,2,0,0
"9490","1994/1995",7,1994-10-02,"18:00","SC Freiburg","Borussia Moenchengladbach",1,1,1,1
"9491","1994/1995",7,1994-10-06,"20:00","SV Werder Bremen","Hamburger SV",1,4,1,3
"9492","1994/1995",8,1994-10-05,"20:15","1. FC Kaiserslautern","FC Bayern Muenchen",1,1,1,0
"9493","1994/1995",8,1994-10-07,"20:00","Eintracht Frankfurt","Karlsruher SC",1,0,0,0
"9494","1994/1995",8,1994-10-07,"20:00","Borussia Moenchengladbach","Bayer Leverkusen",3,3,0,2
"9495","1994/1995",8,1994-10-08,"15:30","Borussia Dortmund","FC Schalke 04",3,2,2,1
"9496","1994/1995",8,1994-10-08,"15:30","MSV Duisburg","SC Freiburg",1,2,0,0
"9497","1994/1995",8,1994-10-08,"15:30","1. FC Koeln","Dynamo Dresden",1,2,0,1
"9498","1994/1995",8,1994-10-08,"15:30","VfB Stuttgart","KFC Uerdingen 05",3,1,1,0
"9499","1994/1995",8,1994-10-09,"18:00","Hamburger SV","VfL Bochum",3,1,2,1
"9500","1994/1995",8,1994-10-09,"18:00","TSV 1860 Muenchen","SV Werder Bremen",1,2,1,1
"9501","1994/1995",9,1994-10-14,"19:30","SC Freiburg","Hamburger SV",3,0,2,0
"9502","1994/1995",9,1994-10-14,"20:00","VfL Bochum","TSV 1860 Muenchen",2,2,1,0
"9503","1994/1995",9,1994-10-15,"15:30","SV Werder Bremen","1. FC Koeln",2,2,1,0
"9504","1994/1995",9,1994-10-15,"15:30","Dynamo Dresden","1. FC Kaiserslautern",1,0,1,0
"9505","1994/1995",9,1994-10-15,"15:30","Karlsruher SC","Borussia Dortmund",0,0,0,0
"9506","1994/1995",9,1994-10-15,"15:30","Bayer Leverkusen","KFC Uerdingen 05",1,1,1,1
"9507","1994/1995",9,1994-10-15,"15:30","Borussia Moenchengladbach","MSV Duisburg",1,0,1,0
"9508","1994/1995",9,1994-10-15,"15:30","FC Bayern Muenchen","Eintracht Frankfurt",3,3,1,1
"9509","1994/1995",9,1994-10-15,"15:30","FC Schalke 04","VfB Stuttgart",1,1,1,1
"9510","1994/1995",10,1994-10-21,"20:00","Hamburger SV","Borussia Moenchengladbach",1,2,1,0
"9511","1994/1995",10,1994-10-21,"20:00","1. FC Koeln","VfL Bochum",2,1,2,1
"9512","1994/1995",10,1994-10-22,"15:30","Borussia Dortmund","FC Bayern Muenchen",1,0,0,0
"9513","1994/1995",10,1994-10-22,"15:30","MSV Duisburg","Bayer Leverkusen",0,2,0,1
"9514","1994/1995",10,1994-10-22,"15:30","Eintracht Frankfurt","Dynamo Dresden",2,0,0,0
"9515","1994/1995",10,1994-10-22,"15:30","TSV 1860 Muenchen","SC Freiburg",4,0,2,0
"9516","1994/1995",10,1994-10-22,"15:30","VfB Stuttgart","Karlsruher SC",4,0,2,0
"9517","1994/1995",10,1994-10-22,"15:30","KFC Uerdingen 05","FC Schalke 04",1,1,0,0
"9518","1994/1995",10,1994-10-23,"18:00","1. FC Kaiserslautern","SV Werder Bremen",1,1,0,0
"9519","1994/1995",11,1994-10-28,"20:00","VfL Bochum","1. FC Kaiserslautern",0,2,0,2
"9520","1994/1995",11,1994-10-28,"20:00","Karlsruher SC","KFC Uerdingen 05",2,1,1,1
"9521","1994/1995",11,1994-10-29,"15:30","SV Werder Bremen","Eintracht Frankfurt",2,0,1,0
"9522","1994/1995",11,1994-10-29,"15:30","Dynamo Dresden","Borussia Dortmund",0,1,0,1
"9523","1994/1995",11,1994-10-29,"15:30","SC Freiburg","1. FC Koeln",4,2,1,0
"9524","1994/1995",11,1994-10-29,"15:30","Bayer Leverkusen","FC Schalke 04",2,2,0,0
"9525","1994/1995",11,1994-10-29,"15:30","Borussia Moenchengladbach","TSV 1860 Muenchen",2,0,0,0
"9526","1994/1995",11,1994-10-29,"15:30","FC Bayern Muenchen","VfB Stuttgart",2,2,0,1
"9527","1994/1995",11,1994-10-30,"18:00","MSV Duisburg","Hamburger SV",0,5,0,2
"9528","1994/1995",12,1994-11-04,"20:00","FC Schalke 04","Karlsruher SC",0,0,0,0
"9529","1994/1995",12,1994-11-04,"20:00","VfB Stuttgart","Dynamo Dresden",4,2,1,1
"9530","1994/1995",12,1994-11-05,"15:30","Eintracht Frankfurt","VfL Bochum",2,1,1,0
"9531","1994/1995",12,1994-11-05,"15:30","Hamburger SV","Bayer Leverkusen",1,2,1,0
"9532","1994/1995",12,1994-11-05,"15:30","1. FC Kaiserslautern","SC Freiburg",3,2,2,1
"9533","1994/1995",12,1994-11-05,"15:30","1. FC Koeln","Borussia Moenchengladbach",1,3,1,1
"9534","1994/1995",12,1994-11-05,"15:30","TSV 1860 Muenchen","MSV Duisburg",1,1,1,1
"9535","1994/1995",12,1994-11-05,"15:30","KFC Uerdingen 05","FC Bayern Muenchen",1,1,0,0
"9536","1994/1995",12,1994-11-06,"20:00","Borussia Dortmund","SV Werder Bremen",2,0,0,0
"9537","1994/1995",13,1994-11-11,"20:00","VfL Bochum","Borussia Dortmund",0,2,0,1
"9538","1994/1995",13,1994-11-11,"20:00","Borussia Moenchengladbach","1. FC Kaiserslautern",4,0,1,0
"9539","1994/1995",13,1994-11-12,"15:30","SV Werder Bremen","VfB Stuttgart",4,0,2,0
"9540","1994/1995",13,1994-11-12,"15:30","Dynamo Dresden","KFC Uerdingen 05",1,2,1,1
"9541","1994/1995",13,1994-11-12,"15:30","MSV Duisburg","1. FC Koeln",1,3,1,1
"9542","1994/1995",13,1994-11-12,"15:30","SC Freiburg","Eintracht Frankfurt",2,0,0,0
"9543","1994/1995",13,1994-11-12,"15:30","Bayer Leverkusen","Karlsruher SC",0,0,0,0
