"","INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"7825","[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Student, HS or College","10+ years","Not Married","One","None","Rent",NA,"White","English"
"7826","[20.000-25.000)","M",NA,"25-34","1 to 3 years of college","Student, HS or College","10+ years","Not Married","One","None","Family",NA,"Hispanic",NA
"7827","[20.000-25.000)","M","Single","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7828","[40.000-50.000)","M","Together","18-24","College graduate","Clerical/Service Worker","10+ years","Not Married","Five","One","Own","House","White","English"
"7829","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","Two","Family","Apartment","White","English"
"7830","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married",NA,"None","Family","House","Hispanic","English"
"7831","-10.000)","F","Single","18-24","Graduated High Scool","Military","-1 year","Not Married","One","None",NA,"Other","White","English"
"7832","[20.000-25.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",NA,"None","Own","House","White","English"
"7833","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Three","One","Family","Other","White","English"
"7834","[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","Hispanic","English"
"7835","[30.000-40.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"7836","[30.000-40.000)","M","Married","65+","Grades 9 to 11","Retired","10+ years","No","Two","None","Rent","Apartment","White","English"
"7837","[30.000-40.000)","F","Married","65+","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","Condominium","White","English"
"7838","[40.000-50.000)","F","Divorced","65+","Grad Study","Professional/Managerial","1-3 years","Not Married","One","None","Own","Condominium","White","English"
"7839","[25.000-30.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Rent","House","White","English"
"7840","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",NA,"None","Family","Apartment","American Indian","English"
"7841","[30.000-40.000)","M","Married","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Four","Two","Own","House","Black","English"
"7842","[30.000-40.000)","F","Together","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"7843","[25.000-30.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","7-10 years","No","Three","One","Rent","Apartment","White","Other"
"7844","[25.000-30.000)","M","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"7845","[15.000-20.000)","F","Together","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"7846","-10.000)","F","Married","25-34","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Four","Two","Rent","House","Black","English"
"7847","[40.000-50.000)","F","Married","35-44","College graduate","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"7848","[10.000-15.000)","M","Divorced","18-24","Graduated High Scool","Military","-1 year","Not Married","One","None","Rent","Apartment","White","English"
"7849","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married","Four","None","Rent","House","White","English"
"7850","[25.000-30.000)","F","Widowed","65+","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7851","[50.000-75.000)","M","Married","55-64","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Hispanic","English"
"7852","[30.000-40.000)","F","Divorced","45-54","Grad Study","Professional/Managerial","4-6 years","Not Married","Two","One","Rent","Apartment","White","English"
"7853","[20.000-25.000)","F","Divorced","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","None","Own","House","White","English"
"7854","[40.000-50.000)","F","Married","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Four","Two","Own","Apartment","Other","English"
"7855","[10.000-15.000)","M","Single","25-34","1 to 3 years of college","Sales Worker","10+ years","Not Married","One","None","Rent","House","Hispanic","English"
"7856","-10.000)","M","Single","25-34","College graduate","Unemployed","1-3 years","Not Married","Four","None","Rent","Apartment","Pacific Islander","Other"
"7857","-10.000)","F","Divorced","25-34","Graduated High Scool","Homemaker","10+ years","Not Married","Three","Two","Rent","House","American Indian","English"
"7858","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Military","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"7859","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","7-10 years","Not Married","Five","Two","Family","Condominium","Asian","Other"
"7860","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Six","Four","Family","House","Hispanic","English"
"7861","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","1-3 years","Not Married","Five","Two","Family",NA,"Asian","English"
"7862","[15.000-20.000)","M","Single","25-34","Graduated High Scool","Military","-1 year","Not Married",NA,"None","Rent","Apartment","White","English"
"7863","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Five","Two","Family","House","White","English"
"7864","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Three","Two","Family","Apartment","White","English"
"7865","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","7-10 years","Not Married","Four","Two","Family","House","Asian","Other"
"7866","[20.000-25.000)","M","Single","18-24","Graduated High Scool","Sales Worker",NA,"Not Married","Two","None","Rent","Apartment","White","English"
"7867","[40.000-50.000)","M","Divorced","55-64","Grad Study","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"7868","[75.000-","M","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Eight","Two","Own","House","Hispanic","English"
"7869","-10.000)","M","Single","18-24","Graduated High Scool","Sales Worker",NA,"Not Married","Three","None","Family","House","Hispanic","English"
"7870","[20.000-25.000)","F","Single","25-34","1 to 3 years of college","Student, HS or College","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"7871","[75.000-","M","Single","14-17","Grade 8 or less","Unemployed","7-10 years","Not Married","Four","Two","Rent","Other","White","English"
"7872","[40.000-50.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"7873","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","Black","English"
"7874","[25.000-30.000)","F","Divorced","55-64","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","Five","Three","Own",NA,"Black","English"
"7875","[20.000-25.000)","M","Married","55-64","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Yes","Three","None","Own","Condominium","White","English"
"7876","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","1-3 years","Not Married","Eight","Six","Family","House","Pacific Islander","English"
"7877","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Eight","Six","Family","House","Pacific Islander","English"
"7878","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","Asian","English"
"7879","[75.000-","F","Single","14-17","Grade 8 or less","Unemployed","10+ years","Not Married","Five","Two","Family","House","American Indian","English"
"7880","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","1-3 years","Not Married","Seven","Five","Family","Apartment","Asian","Other"
"7881","-10.000)","M","Single","18-24",NA,"Student, HS or College","1-3 years","Not Married","Four","None",NA,"House","White","English"
"7882","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Military","-1 year","Not Married","One","None",NA,"Other","White","English"
"7883","-10.000)","M","Single","18-24","Graduated High Scool","Military","1-3 years","Not Married","One","None",NA,"Other","White","English"
"7884","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Military","1-3 years","Not Married","Five","Two","Family","Apartment","Black","English"
"7885","[25.000-30.000)","F","Married","18-24","Graduated High Scool","Clerical/Service Worker","-1 year","Yes","Two","None","Rent","Apartment","White","English"
"7886","-10.000)","M","Single","18-24","Graduated High Scool","Military","-1 year","Not Married","One","None","Family","House","White","English"
"7887","[20.000-25.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","7-10 years","Not Married","Three","None","Own","Other","Asian","English"
"7888","[10.000-15.000)","F","Together","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Rent","Apartment","Black","English"
"7889","[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"7890","[40.000-50.000)","F","Married","25-34","1 to 3 years of college","Homemaker",NA,"No","Four","Two","Own","House","White","English"
"7891","[30.000-40.000)","F","Divorced","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","Condominium","Black","English"
"7892","[20.000-25.000)","F","Married","25-34","1 to 3 years of college","Student, HS or College","4-6 years","Yes","Five","Three","Rent","Apartment","Black","English"
"7893","[20.000-25.000)","F","Married","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Three","One","Rent","House","White","English"
"7894","-10.000)","M","Single","25-34","College graduate","Unemployed","10+ years","Not Married","Two","None","Own","House","Black","English"
"7895","[50.000-75.000)","M","Married","25-34","College graduate","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","Asian","English"
"7896","[40.000-50.000)","M","Single","25-34","Grad Study","Professional/Managerial","4-6 years","Not Married","One","None","Rent","Condominium","White","English"
"7897","[15.000-20.000)","F","Married","25-34","Graduated High Scool","Professional/Managerial","1-3 years","No","Five","Three","Rent","Other","White","English"
"7898","[75.000-","F","Together","25-34","College graduate","Professional/Managerial","7-10 years","Yes","Two","None","Own","Condominium","White","English"
"7899","[50.000-75.000)","F","Married","25-34","College graduate","Professional/Managerial","7-10 years","Yes",NA,"None","Own","House","White","English"
"7900","[30.000-40.000)","M","Single","25-34","Graduated High Scool","Clerical/Service Worker","1-3 years","Not Married","One","None","Own","House","White","English"
"7901","[15.000-20.000)","F","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",NA,"None","Rent",NA,"White","English"
"7902","[30.000-40.000)","M","Married","25-34","College graduate","Professional/Managerial","7-10 years","Yes","Two","None","Rent","Apartment","White","English"
"7903","[20.000-25.000)","M","Divorced","25-34","Graduated High Scool","Sales Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7904","[30.000-40.000)","F","Married","25-34","Grades 9 to 11","Homemaker","10+ years","Yes","Four","Two","Own","House","White","English"
"7905","-10.000)","M","Single","25-34","Graduated High Scool","Unemployed","10+ years","Not Married","One","None",NA,"House","White","English"
"7906","[15.000-20.000)","F","Divorced","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","Two","Own","House","Black","English"
"7907","[20.000-25.000)","F","Widowed","35-44","Grad Study","Clerical/Service Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7908","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White",NA
"7909","[30.000-40.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Six","Four","Rent","House","Other","English"
"7910","[20.000-25.000)","M","Divorced","35-44","Graduated High Scool","Military","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"7911","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"7912","[40.000-50.000)","F","Married","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","White",NA
"7913","[40.000-50.000)","F","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","Three","None","Own","House","White","English"
"7914","[10.000-15.000)","F","Divorced","35-44","1 to 3 years of college","Unemployed",NA,"Not Married","One","None","Own","House","White",NA
"7915","[50.000-75.000)","F","Divorced","35-44","Graduated High Scool","Professional/Managerial","4-6 years","Not Married","One","None","Rent","House","White","English"
"7916","-10.000)","F",NA,"35-44","Grades 9 to 11","Sales Worker","10+ years","No","Three","Two","Rent","Apartment","White","English"
"7917","[30.000-40.000)","F","Married","35-44","Grad Study","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"7918","[75.000-","M","Together","35-44","Grad Study","Professional/Managerial",NA,"Not Married","Two","None","Own","House","White","English"
"7919","[50.000-75.000)","M","Married","35-44","Grad Study","Professional/Managerial","1-3 years","Yes","Four","Two","Rent","Condominium","White","English"
"7920","[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Rent","House","Other","English"
"7921","[75.000-","F","Married","35-44","College graduate","Sales Worker","10+ years","Yes","Three","One","Own","House","White","English"
"7922","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker","4-6 years","No","Five","Two","Rent","House","White","Spanish"
"7923","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"7924","[30.000-40.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Other","White","English"
"7925","[30.000-40.000)","F","Single","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Family","Other","White","English"
"7926","[50.000-75.000)","F","Married","45-54","College graduate","Professional/Managerial",NA,"Yes","Two","None","Own","House","White","English"
"7927","[25.000-30.000)","F","Together","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Two","None","Rent","Other","White","English"
"7928","[30.000-40.000)","F","Together","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"7929","[20.000-25.000)","F","Divorced","45-54","1 to 3 years of college","Clerical/Service Worker","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"7930","[30.000-40.000)","F","Married","55-64","Graduated High Scool","Homemaker","10+ years","No","Seven","Two","Own","House","White","English"
"7931","[10.000-15.000)","F","Divorced","55-64","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7932","[20.000-25.000)","F","Widowed","55-64","1 to 3 years of college","Retired","10+ years","Not Married","One","None","Own",NA,"White","English"
"7933","[10.000-15.000)","F","Widowed","65+","College graduate","Clerical/Service Worker","10+ years","Not Married","One","None","Own","Condominium","White","English"
"7934","-10.000)","M","Married","65+","Graduated High Scool","Clerical/Service Worker","7-10 years","No","Two","None","Rent","Apartment","Asian","Other"
"7935","[50.000-75.000)","F","Widowed","65+","Grad Study","Retired","7-10 years","Not Married","One","None","Own","Condominium","White","English"
"7936","[40.000-50.000)","F","Divorced","25-34","Graduated High Scool","Homemaker","7-10 years","Not Married",NA,"None","Family","House","White","English"
"7937","[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","One","None","Own","House","White","English"
"7938","[10.000-15.000)","F","Single","14-17","Grade 8 or less","Sales Worker",NA,"Not Married","Five","Two","Family","House","Black","English"
"7939","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Four","Two","Family","House","Black","English"
"7940","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Three","One","Family","Other","White","English"
"7941","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",NA,"None","Family","House","White","English"
"7942","-10.000)","M","Single","14-17","Grades 9 to 11","Military","1-3 years","Not Married","One","None","Own","Other","White","English"
"7943","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Six","None","Family",NA,"White","English"
"7944","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Two","One","Family","Apartment","White","English"
"7945","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",NA,"None","Family",NA,"White","English"
"7946","[10.000-15.000)","F","Single","14-17","Grades 9 to 11","Factory Worker/Laborer/Driver","4-6 years","Not Married","Five","Two","Family","Apartment","Asian","English"
"7947","-10.000)","M","Single","18-24",NA,"Student, HS or College","10+ years","Not Married","Seven","Three","Family","House","White","English"
"7948","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Military","-1 year","Not Married",NA,"None",NA,"Other","White","English"
"7949","[15.000-20.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Two","None","Rent","Apartment","Pacific Islander","English"
"7950","[15.000-20.000)","F","Single","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Two","One","Rent","House","Black","English"
"7951","[10.000-15.000)","M","Single","35-44","1 to 3 years of college","Sales Worker",NA,"Not Married","Two","None","Rent","Apartment","White","English"
"7952","[20.000-25.000)","M","Married","35-44","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married",NA,"None",NA,NA,"Hispanic","Spanish"
"7953","[40.000-50.000)","M","Divorced","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7954","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","Condominium","American Indian","English"
"7955","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Retired","10+ years","No","Three","None","Own","House","White","English"
"7956","[40.000-50.000)","F","Married","45-54","Grades 9 to 11","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","White","English"
"7957","[25.000-30.000)","F","Divorced","45-54","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"7958","[30.000-40.000)","F","Married","55-64","Graduated High Scool","Retired","10+ years","No","Two","None","Own","Condominium","White","English"
"7959","[10.000-15.000)","F","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7960","[30.000-40.000)","F","Married","65+","1 to 3 years of college","Retired",NA,"No","Two","None",NA,"House","White","Other"
"7961","-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"7962","[30.000-40.000)","F","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7963","[20.000-25.000)","F","Divorced","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7964","[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","Condominium","White","English"
"7965","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","White","English"
"7966","[75.000-","F","Married","45-54","Graduated High Scool","Homemaker","10+ years","No","Five","One","Own",NA,"White","English"
"7967","[40.000-50.000)","F","Widowed","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","Other","English"
"7968","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Homemaker","-1 year","No","Seven","Five","Rent","Apartment","White","English"
"7969","-10.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Two","None","Family","Apartment","Black","English"
"7970","[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","No","Three","One","Rent","House","White","English"
"7971","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"7972","[40.000-50.000)","F","Married","25-34","Grad Study","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"7973","[50.000-75.000)","M","Married","55-64","Graduated High Scool","Sales Worker","1-3 years","Yes","Two","None","Rent","Apartment","White","English"
"7974","[20.000-25.000)","F","Divorced","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","Four","Three","Own","House","Black","English"
"7975","[30.000-40.000)","M","Divorced","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"7976","[25.000-30.000)","F","Married","25-34","Graduated High Scool","Clerical/Service Worker","1-3 years","Yes","Four","Two","Rent","House","White","English"
"7977","[30.000-40.000)","M","Divorced","18-24","Graduated High Scool","Military","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"7978","-10.000)","F","Together","18-24","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","Four","Two","Family","House","White","English"
"7979","[30.000-40.000)","F","Together","25-34","Grad Study","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"7980","[75.000-","M","Together","45-54","College graduate","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"7981","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","1-3 years","Yes","Two","None","Own","House","White","English"
"7982","[15.000-20.000)","F","Single","45-54","Graduated High Scool","Clerical/Service Worker","4-6 years","Not Married","One","None","Rent",NA,"White","English"
"7983","[50.000-75.000)","F","Single","35-44","Grad Study","Professional/Managerial","4-6 years","Not Married","One","None","Own","House","Hispanic","English"
"7984","[15.000-20.000)","M","Single","25-34","1 to 3 years of college","Military",NA,"Not Married","One","None",NA,"Other","White","English"
"7985","[50.000-75.000)","F","Married","45-54","Grad Study","Clerical/Service Worker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"7986","[25.000-30.000)","F","Divorced","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","Other","White","English"
"7987","[75.000-","F","Married","25-34","Grad Study","Professional/Managerial","4-6 years","Yes","Two","None","Own","House","White","English"
"7988","[20.000-25.000)","M","Single","25-34","1 to 3 years of college","Military","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"7989","[20.000-25.000)","M","Divorced","25-34","College graduate","Military","1-3 years","Not Married","Two","None","Rent","Apartment","Hispanic","English"
"7990","-10.000)","F","Single","55-64","1 to 3 years of college","Homemaker","1-3 years","Not Married","Three","None","Family","House","White","English"
"7991","[25.000-30.000)","F","Together","18-24","College graduate","Professional/Managerial","-1 year","Not Married","Two","None","Rent","Apartment","White","English"
"7992","-10.000)","M","Divorced","45-54","College graduate","Unemployed","7-10 years","Not Married","One","None","Rent",NA,"White","English"
"7993","[75.000-","M","Married","25-34","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","House","White","English"
"7994","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"7995","[30.000-40.000)","F","Divorced","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"7996","[40.000-50.000)","F","Together","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"7997","[50.000-75.000)","F","Single","35-44","College graduate","Professional/Managerial","7-10 years","Not Married","One","None","Rent","Apartment","White","English"
"7998","[20.000-25.000)","M","Divorced","25-34","1 to 3 years of college","Military",NA,"Not Married","One","Seven",NA,"Other","Black","English"
"7999","[25.000-30.000)","F","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White",NA
"8000","[25.000-30.000)","M","Divorced","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Three","One","Family","House","Pacific Islander","Other"
"8001","[40.000-50.000)","F","Married","45-54","College graduate","Professional/Managerial",NA,"Yes","Two","None","Own","Condominium","White","English"
"8002","[75.000-","M","Together","25-34","College graduate","Professional/Managerial","1-3 years","Yes","Two","None","Own","House","White","English"
"8003","[10.000-15.000)","M","Single","25-34","1 to 3 years of college","Military","1-3 years","Not Married",NA,"None",NA,"Other","White","English"
"8004","[25.000-30.000)","M","Married","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Yes","Seven","Five","Rent","Apartment","Other","English"
"8005","[40.000-50.000)","F","Married","35-44","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Three","None","Own","House","White","English"
"8006","[75.000-","F","Married","45-54","Graduated High Scool","Professional/Managerial","4-6 years","Yes","Two","None","Own","House","White","English"
"8007","[30.000-40.000)","M","Single","55-64","College graduate","Retired","10+ years","Not Married",NA,"None","Rent","Apartment","White","English"
"8008","[40.000-50.000)","M","Married","25-34","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Rent","Apartment","Asian","English"
"8009","[40.000-50.000)","F","Married","25-34","Grad Study","Clerical/Service Worker","1-3 years","Yes","Two","None","Rent","Apartment","White","English"
"8010","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","7-10 years","Yes","Two","Two","Own","House","White","English"
"8011","[75.000-","M","Together","45-54","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Three","One","Own","House","White","English"
"8012","[50.000-75.000)","M","Married","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","1-3 years","Yes","Two","None","Rent","House","White","English"
"8013","[75.000-","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"8014","[25.000-30.000)","M","Single","25-34","Grad Study","Professional/Managerial","1-3 years","Not Married",NA,"None","Rent","Apartment","White","English"
"8015","[25.000-30.000)","M","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"8016","[10.000-15.000)","M",NA,"35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"8017","[75.000-","M","Married","45-54","Graduated High Scool","Professional/Managerial",NA,"Yes","Three","One","Own","House","White","English"
"8018","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"8019","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Six","None","Family","House","Hispanic","English"
"8020","[30.000-40.000)","M",NA,"35-44","Grad Study","Clerical/Service Worker","1-3 years","Yes","Four","None","Rent","Apartment","Asian","Other"
"8021","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Military","1-3 years","Not Married",NA,"None",NA,"Other","White","English"
"8022","[75.000-","M","Divorced","45-54","Grad Study","Professional/Managerial",NA,"Not Married","Two","None","Own","House","White","English"
"8023","[25.000-30.000)","M","Single","35-44","Graduated High Scool","Professional/Managerial","10+ years","Not Married",NA,"None","Own","Other","Asian","English"
"8024","[75.000-","M","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","Three","None","Rent","House","Other","English"
"8025","[30.000-40.000)","M","Single","55-64","College graduate","Retired","10+ years","Not Married","One","None","Own","House","White","English"
"8026","[20.000-25.000)","M","Together","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","No","One","None","Rent","Apartment","White","English"
"8027","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","None","Rent","Apartment","White","English"
"8028","-10.000)","M","Single","18-24","Graduated High Scool","Military","7-10 years","Not Married","Four","None","Rent","Apartment","Black","English"
"8029","-10.000)","F","Single","18-24","Graduated High Scool","Military","1-3 years","Not Married",NA,"None","Rent","Other","White","English"
"8030","[40.000-50.000)","M","Married","65+","College graduate","Retired",NA,"No","Two","None","Own","House","White","English"
"8031","[50.000-75.000)","F","Married","35-44","Grad Study","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"8032","[50.000-75.000)","F","Married","55-64","College graduate","Homemaker","10+ years","No","Two","None","Own","House","White","English"
"8033","[75.000-","F","Married","25-34","1 to 3 years of college","Homemaker","1-3 years","No","Three","One","Own","House","White","English"
"8034","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"8035","[30.000-40.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
