"","s.v.i.x.y"
"12705","7,0,34,613.831,840.2"
"12706","7,0,34,611.455,845.11"
"12707","7,0,34,608.884,849.729"
"12708","7,0,34,606.127,854.055"
"12709","7,0,34,603.195,858.084"
"12710","7,0,34,600.098,861.815"
"12711","7,0,34,596.848,865.246"
"12712","7,0,34,593.453,868.375"
"12713","7,0,34,589.925,871.199"
"12714","7,0,34,586.275,873.716"
"12715","7,0,34,582.512,875.924"
"12716","7,0,34,578.646,877.82"
"12717","7,0,34,574.69,879.403"
"12718","7,0,34,570.652,880.671"
"12719","7,0,34,566.544,881.62"
"12720","7,0,34,562.375,882.25"
"12721","7,0,34,558.157,882.557"
"12722","7,0,34,553.899,882.54"
"12723","7,0,34,549.612,882.196"
"12724","7,0,34,545.307,881.523"
"12725","7,0,34,540.993,880.52"
"12726","7,0,34,536.682,879.183"
"12727","7,0,34,532.384,877.51"
"12728","7,0,34,528.109,875.5"
"12729","7,0,34,523.868,873.15"
"12730","7,0,34,519.671,870.458"
"12731","7,0,34,515.529,867.422"
"12732","7,0,34,511.451,864.039"
"12733","7,0,34,507.449,860.308"
"12734","7,0,34,503.533,856.226"
"12735","7,0,34,499.713,851.79"
"12736","7,0,34,496,847"
"12737","7,0,34,496,847"
"12738","7,0,34,501.469,839.953"
"12739","7,0,34,506.75,832.625"
"12740","7,0,34,513.156,823.234"
"12741","7,0,34,522,810"
"12742","7,0,34,522,810"
"12743","7,0,34,525.628,814.14"
"12744","7,0,34,529.365,817.57"
"12745","7,0,34,533.182,820.31"
"12746","7,0,34,535.11,821.425"
"12747","7,0,34,537.047,822.375"
"12748","7,0,34,538.988,823.161"
"12749","7,0,34,540.929,823.784"
"12750","7,0,34,542.868,824.248"
"12751","7,0,34,544.799,824.555"
"12752","7,0,34,546.719,824.706"
"12753","7,0,34,548.624,824.704"
"12754","7,0,34,550.511,824.551"
"12755","7,0,34,552.375,824.25"
"12756","7,0,34,556.02,823.21"
"12757","7,0,34,559.529,821.602"
"12758","7,0,34,562.871,819.442"
"12759","7,0,34,566.016,816.75"
"12760","7,0,34,568.931,813.542"
"12761","7,0,34,571.588,809.836"
"12762","7,0,34,573.954,805.649"
"12763","7,0,34,576,801"
"12764","7,0,34,576,801"
"12765","7,0,34,581.861,806.727"
"12766","7,0,34,587.453,811.938"
"12767","7,0,34,592.787,816.68"
"12768","7,0,34,597.875,821"
"12769","7,0,34,607.359,828.562"
"12770","7,0,34,616,835"
"12771","7,0,34,NA,NA"
"12772","NA,NA,NA,NA,NA"
"12773","7,0,35,631,788"
"12774","7,0,35,629.125,796.418"
"12775","7,0,35,627.25,803.781"
"12776","7,0,35,625.375,810.254"
"12777","7,0,35,623.5,816"
"12778","7,0,35,621.625,821.184"
"12779","7,0,35,619.75,825.969"
"12780","7,0,35,616,835"
"12781","7,0,35,616,835"
"12782","7,0,35,620.891,838.177"
"12783","7,0,35,625.804,840.962"
"12784","7,0,35,630.728,843.362"
"12785","7,0,35,635.65,845.383"
"12786","7,0,35,640.559,847.032"
"12787","7,0,35,645.441,848.315"
"12788","7,0,35,650.285,849.24"
"12789","7,0,35,655.078,849.812"
"12790","7,0,35,659.808,850.039"
"12791","7,0,35,664.463,849.927"
"12792","7,0,35,669.03,849.482"
"12793","7,0,35,673.498,848.711"
"12794","7,0,35,677.854,847.621"
"12795","7,0,35,682.085,846.218"
"12796","7,0,35,686.179,844.509"
"12797","7,0,35,690.125,842.5"
"12798","7,0,35,693.91,840.198"
"12799","7,0,35,697.521,837.61"
"12800","7,0,35,700.946,834.743"
"12801","7,0,35,704.174,831.602"
"12802","7,0,35,707.191,828.194"
"12803","7,0,35,709.986,824.526"
"12804","7,0,35,712.546,820.605"
"12805","7,0,35,714.859,816.438"
"12806","7,0,35,716.913,812.029"
"12807","7,0,35,718.696,807.388"
"12808","7,0,35,720.194,802.519"
"12809","7,0,35,721.396,797.43"
"12810","7,0,35,722.291,792.127"
"12811","7,0,35,722.864,786.616"
"12812","7,0,35,723.105,780.905"
"12813","7,0,35,723,775"
"12814","7,0,35,723,775"
"12815","7,0,35,710.594,771.812"
"12816","7,0,35,698.75,768.25"
"12817","7,0,35,687.281,764.312"
"12818","7,0,35,676,760"
"12819","7,0,35,676,760"
"12820","7,0,35,675.495,765.753"
"12821","7,0,35,674.723,771.006"
"12822","7,0,35,673.675,775.752"
"12823","7,0,35,672.344,779.984"
"12824","7,0,35,670.719,783.695"
"12825","7,0,35,668.793,786.877"
"12826","7,0,35,666.556,789.523"
"12827","7,0,35,665.319,790.642"
"12828","7,0,35,664,791.625"
"12829","7,0,35,662.599,792.47"
"12830","7,0,35,661.116,793.177"
"12831","7,0,35,659.548,793.743"
"12832","7,0,35,657.895,794.17"
"12833","7,0,35,656.155,794.455"
"12834","7,0,35,654.328,794.598"
"12835","7,0,35,650.406,794.453"
"12836","7,0,35,646.122,793.728"
"12837","7,0,35,641.465,792.416"
"12838","7,0,35,636.427,790.509"
"12839","7,0,35,631,788"
"12840","7,0,35,NA,NA"
"12841","NA,NA,NA,NA,NA"
"12842","7,0,36,631,788"
"12843","7,0,36,629.125,796.418"
"12844","7,0,36,627.25,803.781"
"12845","7,0,36,625.375,810.254"
"12846","7,0,36,623.5,816"
"12847","7,0,36,621.625,821.184"
"12848","7,0,36,619.75,825.969"
"12849","7,0,36,616,835"
"12850","7,0,36,616,835"
"12851","7,0,36,607.359,828.562"
"12852","7,0,36,597.875,821"
"12853","7,0,36,592.787,816.68"
"12854","7,0,36,587.453,811.938"
"12855","7,0,36,581.861,806.727"
"12856","7,0,36,576,801"
"12857","7,0,36,576,801"
"12858","7,0,36,579.766,791.609"
"12859","7,0,36,583.625,781.375"
"12860","7,0,36,592,758"
"12861","7,0,36,592,758"
"12862","7,0,36,596.26,762.119"
"12863","7,0,36,600.766,766.203"
"12864","7,0,36,605.482,770.217"
"12865","7,0,36,610.375,774.125"
"12866","7,0,36,615.408,777.893"
"12867","7,0,36,620.547,781.484"
"12868","7,0,36,625.756,784.865"
"12869","7,0,36,631,788"
"12870","7,0,36,NA,NA"
"12871","NA,NA,NA,NA,NA"
"12872","7,0,37,468,211"
"12873","7,0,37,470.706,206.198"
"12874","7,0,37,473.566,201.926"
"12875","7,0,37,476.574,198.199"
"12876","7,0,37,479.719,195.031"
"12877","7,0,37,482.993,192.438"
"12878","7,0,37,486.387,190.434"
"12879","7,0,37,488.126,189.657"
"12880","7,0,37,489.892,189.033"
"12881","7,0,37,491.684,188.563"
"12882","7,0,37,493.5,188.25"
"12883","7,0,37,495.34,188.095"
"12884","7,0,37,497.202,188.1"
"12885","7,0,37,499.085,188.267"
"12886","7,0,37,500.988,188.598"
"12887","7,0,37,502.911,189.094"
"12888","7,0,37,504.851,189.757"
"12889","7,0,37,508.781,191.594"
"12890","7,0,37,512.77,194.122"
"12891","7,0,37,516.809,197.355"
"12892","7,0,37,520.888,201.31"
"12893","7,0,37,525,206"
"12894","7,0,37,525,206"
"12895","7,0,37,534.703,194.031"
"12896","7,0,37,538.764,189.371"
"12897","7,0,37,542.625,185.25"
"12898","7,0,37,546.533,181.41"
"12899","7,0,37,550.734,177.594"
"12900","7,0,37,561,169"
"12901","7,0,37,561,169"
"12902","7,0,37,557.891,163.858"
"12903","7,0,37,554.575,159.115"
"12904","7,0,37,551.066,154.766"
"12905","7,0,37,547.379,150.807"
"12906","7,0,37,543.53,147.232"
"12907","7,0,37,539.533,144.037"
"12908","7,0,37,535.403,141.216"
"12909","7,0,37,531.156,138.766"
"12910","7,0,37,526.807,136.68"
"12911","7,0,37,522.37,134.953"
"12912","7,0,37,517.86,133.582"
"12913","7,0,37,513.293,132.561"
"12914","7,0,37,508.683,131.884"
"12915","7,0,37,504.046,131.548"
"12916","7,0,37,499.397,131.546"
"12917","7,0,37,494.75,131.875"
"12918","7,0,37,490.121,132.529"
"12919","7,0,37,485.524,133.503"
"12920","7,0,37,480.975,134.793"
"12921","7,0,37,476.488,136.393"
"12922","7,0,37,472.079,138.298"
"12923","7,0,37,467.763,140.504"
"12924","7,0,37,463.555,143.005"
"12925","7,0,37,459.469,145.797"
"12926","7,0,37,455.521,148.874"
"12927","7,0,37,451.725,152.233"
"12928","7,0,37,448.097,155.867"
"12929","7,0,37,444.652,159.771"
"12930","7,0,37,441.405,163.942"
"12931","7,0,37,438.371,168.374"
"12932","7,0,37,435.564,173.061"
"12933","7,0,37,433,178"
"12934","7,0,37,433,178"
"12935","7,0,37,450.875,194.125"
"12936","7,0,37,459.578,202.328"
"12937","7,0,37,463.83,206.588"
"12938","7,0,37,468,211"
"12939","7,0,37,NA,NA"
"12940","NA,NA,NA,NA,NA"
"12941","7,0,38,468,211"
"12942","7,0,38,470.706,206.198"
"12943","7,0,38,473.566,201.926"
"12944","7,0,38,476.574,198.199"
"12945","7,0,38,479.719,195.031"
"12946","7,0,38,482.993,192.438"
"12947","7,0,38,486.387,190.434"
"12948","7,0,38,488.126,189.657"
"12949","7,0,38,489.892,189.033"
"12950","7,0,38,491.684,188.563"
"12951","7,0,38,493.5,188.25"
"12952","7,0,38,495.34,188.095"
"12953","7,0,38,497.202,188.1"
"12954","7,0,38,499.085,188.267"
"12955","7,0,38,500.988,188.598"
"12956","7,0,38,502.911,189.094"
"12957","7,0,38,504.851,189.757"
"12958","7,0,38,508.781,191.594"
"12959","7,0,38,512.77,194.122"
"12960","7,0,38,516.809,197.355"
"12961","7,0,38,520.888,201.31"
"12962","7,0,38,525,206"
"12963","7,0,38,525,206"
"12964","7,0,38,520.604,211.209"
"12965","7,0,38,516.453,216.922"
"12966","7,0,38,512.607,222.893"
"12967","7,0,38,509.125,228.875"
"12968","7,0,38,506.064,234.623"
"12969","7,0,38,503.484,239.891"
"12970","7,0,38,501.443,244.432"
"12971","7,0,38,500,248"
"12972","7,0,38,500,248"
"12973","7,0,38,491.484,238.562"
"12974","7,0,38,483.625,229.5"
"12975","7,0,38,468,211"
"12976","7,0,38,NA,NA"
"12977","NA,NA,NA,NA,NA"
"12978","7,0,39,450,252"
"12979","7,0,39,453.938,242.781"
"12980","7,0,39,458.25,232.25"
"12981","7,0,39,462.938,221.344"
"12982","7,0,39,465.422,216.043"
"12983","7,0,39,468,211"
"12984","7,0,39,468,211"
"12985","7,0,39,463.83,206.588"
"12986","7,0,39,459.578,202.328"
"12987","7,0,39,450.875,194.125"
"12988","7,0,39,433,178"
"12989","7,0,39,433,178"
"12990","7,0,39,428.25,188.641"
"12991","7,0,39,424.25,198.625"
"12992","7,0,39,420.625,208.797"
"12993","7,0,39,417,220"
"12994","7,0,39,417,220"
"12995","7,0,39,421.945,224"
"12996","7,0,39,426.938,228.375"
"12997","7,0,39,431.836,232.938"
"12998","7,0,39,436.5,237.5"
"12999","7,0,39,444.562,245.875"
"13000","7,0,39,450,252"
"13001","7,0,39,NA,NA"
"13002","NA,NA,NA,NA,NA"
"13003","7,0,40,450,252"
"13004","7,0,40,453.938,242.781"
"13005","7,0,40,458.25,232.25"
"13006","7,0,40,462.938,221.344"
"13007","7,0,40,465.422,216.043"
"13008","7,0,40,468,211"
"13009","7,0,40,468,211"
"13010","7,0,40,483.625,229.5"
"13011","7,0,40,491.484,238.562"
"13012","7,0,40,500,248"
"13013","7,0,40,500,248"
"13014","7,0,40,492.25,268.75"
"13015","7,0,40,488.188,278.938"
"13016","7,0,40,483,291"
"13017","7,0,40,483,291"
"13018","7,0,40,474.75,281.812"
"13019","7,0,40,466.5,272.25"
"13020","7,0,40,458.25,262.312"
"13021","7,0,40,450,252"
"13022","7,0,40,NA,NA"
"13023","NA,NA,NA,NA,NA"
"13024","7,0,41,781,377"
"13025","7,0,41,787.024,378.144"
"13026","7,0,41,792.352,379.686"
"13027","7,0,41,796.987,381.599"
"13028","7,0,41,799.048,382.687"
"13029","7,0,41,800.938,383.859"
"13030","7,0,41,802.657,385.112"
"13031","7,0,41,804.208,386.442"
"13032","7,0,41,805.59,387.847"
"13033","7,0,41,806.805,389.322"
"13034","7,0,41,807.852,390.866"
"13035","7,0,41,808.733,392.475"
"13036","7,0,41,809.449,394.146"
"13037","7,0,41,810,395.875"
"13038","7,0,41,810.387,397.66"
"13039","7,0,41,810.61,399.498"
"13040","7,0,41,810.671,401.385"
"13041","7,0,41,810.57,403.318"
"13042","7,0,41,810.308,405.295"
"13043","7,0,41,809.886,407.312"
"13044","7,0,41,808.562,411.453"
"13045","7,0,41,806.606,415.718"
"13046","7,0,41,804.023,420.08"
"13047","7,0,41,800.819,424.516"
"13048","7,0,41,797,429"
"13049","7,0,41,797,429"
"13050","7,0,41,803.082,431.051"
"13051","7,0,41,809.281,433.406"
"13052","7,0,41,815.527,435.996"
"13053","7,0,41,821.75,438.75"
"13054","7,0,41,833.844,444.469"
"13055","7,0,41,845,450"
"13056","7,0,41,845,450"
"13057","7,0,41,848.961,445.305"
"13058","7,0,41,852.592,440.6"
"13059","7,0,41,855.893,435.893"
"13060","7,0,41,858.861,431.191"
"13061","7,0,41,861.497,426.503"
"13062","7,0,41,863.798,421.835"
"13063","7,0,41,865.763,417.196"
"13064","7,0,41,867.391,412.594"
"13065","7,0,41,868.68,408.035"
"13066","7,0,41,869.63,403.528"
"13067","7,0,41,870.239,399.08"
"13068","7,0,41,870.506,394.699"
"13069","7,0,41,870.429,390.393"
"13070","7,0,41,870.008,386.169"
"13071","7,0,41,869.24,382.036"
"13072","7,0,41,868.125,378"
"13073","7,0,41,866.661,374.07"
"13074","7,0,41,864.848,370.252"
"13075","7,0,41,862.683,366.556"
"13076","7,0,41,860.166,362.988"
"13077","7,0,41,857.295,359.557"
"13078","7,0,41,854.069,356.269"
"13079","7,0,41,850.487,353.133"
"13080","7,0,41,846.547,350.156"
"13081","7,0,41,842.248,347.346"
"13082","7,0,41,837.589,344.711"
"13083","7,0,41,832.569,342.259"
"13084","7,0,41,827.186,339.996"
"13085","7,0,41,821.438,337.931"
"13086","7,0,41,815.326,336.072"
"13087","7,0,41,808.847,334.425"
"13088","7,0,41,802,333"
"13089","7,0,41,802,333"
"13090","7,0,41,799.662,339.854"
"13091","7,0,41,797.172,346.203"
"13092","7,0,41,794.564,352.107"
"13093","7,0,41,791.875,357.625"
"13094","7,0,41,789.139,362.814"
"13095","7,0,41,786.391,367.734"
"13096","7,0,41,781,377"
"13097","7,0,41,NA,NA"
"13098","NA,NA,NA,NA,NA"
"13099","7,0,42,257,575"
"13100","7,0,42,244.547,571.656"
"13101","7,0,42,231.625,567.75"
"13102","7,0,42,218.891,563.469"
"13103","7,0,42,207,559"
"13104","7,0,42,207,559"
"13105","7,0,42,203.754,563.956"
"13106","7,0,42,201.141,568.697"
"13107","7,0,42,199.16,573.219"
"13108","7,0,42,197.812,577.516"
"13109","7,0,42,197.098,581.584"
"13110","7,0,42,196.978,583.531"
"13111","7,0,42,197.016,585.42"
"13112","7,0,42,197.212,587.249"
"13113","7,0,42,197.566,589.018"
"13114","7,0,42,198.079,590.727"
"13115","7,0,42,198.75,592.375"
"13116","7,0,42,199.579,593.961"
"13117","7,0,42,200.566,595.486"
"13118","7,0,42,201.712,596.947"
"13119","7,0,42,203.016,598.346"
"13120","7,0,42,204.478,599.68"
"13121","7,0,42,206.098,600.951"
"13122","7,0,42,209.812,603.297"
"13123","7,0,42,214.16,605.379"
"13124","7,0,42,219.141,607.193"
"13125","7,0,42,224.754,608.735"
"13126","7,0,42,231,610"
"13127","7,0,42,231,610"
"13128","7,0,42,237.172,601.156"
"13129","7,0,42,243.625,592.5"
"13130","7,0,42,257,575"
"13131","7,0,42,NA,NA"
"13132","NA,NA,NA,NA,NA"
"13133","7,0,43,635,741"
"13134","7,0,43,634.797,753.969"
"13135","7,0,43,634.125,766"
"13136","7,0,43,633.584,771.723"
"13137","7,0,43,632.891,777.281"
"13138","7,0,43,632.033,782.699"
"13139","7,0,43,631,788"
"13140","7,0,43,631,788"
"13141","7,0,43,636.427,790.509"
"13142","7,0,43,641.465,792.416"
"13143","7,0,43,646.122,793.728"
"13144","7,0,43,650.406,794.453"
"13145","7,0,43,654.328,794.598"
"13146","7,0,43,656.155,794.455"
"13147","7,0,43,657.895,794.17"
"13148","7,0,43,659.548,793.743"
"13149","7,0,43,661.116,793.177"
"13150","7,0,43,662.599,792.47"
"13151","7,0,43,664,791.625"
"13152","7,0,43,665.319,790.642"
"13153","7,0,43,666.556,789.523"
"13154","7,0,43,668.793,786.877"
"13155","7,0,43,670.719,783.695"
"13156","7,0,43,672.344,779.984"
"13157","7,0,43,673.675,775.752"
"13158","7,0,43,674.723,771.006"
"13159","7,0,43,675.495,765.753"
"13160","7,0,43,676,760"
"13161","7,0,43,676,760"
"13162","7,0,43,655.125,750.125"
"13163","7,0,43,645.203,745.516"
"13164","7,0,43,635,741"
"13165","7,0,43,NA,NA"
"13166","NA,NA,NA,NA,NA"
"13167","7,0,44,635,741"
"13168","7,0,44,634.797,753.969"
"13169","7,0,44,634.125,766"
"13170","7,0,44,633.584,771.723"
"13171","7,0,44,632.891,777.281"
"13172","7,0,44,632.033,782.699"
"13173","7,0,44,631,788"
"13174","7,0,44,631,788"
"13175","7,0,44,625.756,784.865"
"13176","7,0,44,620.547,781.484"
"13177","7,0,44,615.408,777.893"
"13178","7,0,44,610.375,774.125"
"13179","7,0,44,605.482,770.217"
"13180","7,0,44,600.766,766.203"
"13181","7,0,44,596.26,762.119"
"13182","7,0,44,592,758"
"13183","7,0,44,592,758"
"13184","7,0,44,593.856,753.898"
"13185","7,0,44,595.693,750.215"
"13186","7,0,44,597.539,746.948"
"13187","7,0,44,599.422,744.094"
"13188","7,0,44,601.369,741.65"
"13189","7,0,44,603.408,739.613"
"13190","7,0,44,605.568,737.981"
"13191","7,0,44,607.875,736.75"
"13192","7,0,44,610.358,735.917"
"13193","7,0,44,613.045,735.48"
"13194","7,0,44,615.963,735.436"
"13195","7,0,44,619.141,735.781"
"13196","7,0,44,622.605,736.513"
"13197","7,0,44,626.385,737.629"
"13198","7,0,44,630.507,739.125"
"13199","7,0,44,635,741"
"13200","7,0,44,NA,NA"
"13201","NA,NA,NA,NA,NA"
"13202","7,0,45,781,377"
"13203","7,0,45,787.024,378.144"
"13204","7,0,45,792.352,379.686"
"13205","7,0,45,796.987,381.599"
"13206","7,0,45,799.048,382.687"
"13207","7,0,45,800.938,383.859"
"13208","7,0,45,802.657,385.112"
"13209","7,0,45,804.208,386.442"
"13210","7,0,45,805.59,387.847"
"13211","7,0,45,806.805,389.322"
"13212","7,0,45,807.852,390.866"
"13213","7,0,45,808.733,392.475"
"13214","7,0,45,809.449,394.146"
"13215","7,0,45,810,395.875"
"13216","7,0,45,810.387,397.66"
"13217","7,0,45,810.61,399.498"
"13218","7,0,45,810.671,401.385"
"13219","7,0,45,810.57,403.318"
"13220","7,0,45,810.308,405.295"
"13221","7,0,45,809.886,407.312"
"13222","7,0,45,808.562,411.453"
"13223","7,0,45,806.606,415.718"
"13224","7,0,45,804.023,420.08"
"13225","7,0,45,800.819,424.516"
"13226","7,0,45,797,429"
"13227","7,0,45,797,429"
"13228","7,0,45,785.906,425.453"
"13229","7,0,45,775,422.375"
"13230","7,0,45,769.559,421.041"
"13231","7,0,45,764.094,419.859"
"13232","7,0,45,758.582,418.842"
"13233","7,0,45,753,418"
"13234","7,0,45,753,418"
"13235","7,0,45,765.5,400.5"
"13236","7,0,45,772.969,389.594"
"13237","7,0,45,776.926,383.52"
"13238","7,0,45,781,377"
"13239","7,0,45,NA,NA"
"13240","NA,NA,NA,NA,NA"
"13241","7,0,46,257,575"
"13242","7,0,46,244.547,571.656"
"13243","7,0,46,231.625,567.75"
"13244","7,0,46,218.891,563.469"
"13245","7,0,46,207,559"
"13246","7,0,46,207,559"
"13247","7,0,46,209.941,555.207"
"13248","7,0,46,213.469,551.344"
"13249","7,0,46,217.512,547.434"
"13250","7,0,46,222,543.5"
"13251","7,0,46,226.863,539.566"
"13252","7,0,46,232.031,535.656"
"13253","7,0,46,237.434,531.793"
"13254","7,0,46,243,528"
"13255","7,0,46,243,528"
"13256","7,0,46,247.442,530.604"
"13257","7,0,46,251.395,533.178"
"13258","7,0,46,254.861,535.737"
"13259","7,0,46,257.844,538.297"
"13260","7,0,46,260.346,540.875"
"13261","7,0,46,262.371,543.486"
"13262","7,0,46,263.921,546.148"
"13263","7,0,46,265,548.875"
"13264","7,0,46,265.61,551.684"
"13265","7,0,46,265.754,554.592"
"13266","7,0,46,265.435,557.614"
"13267","7,0,46,264.656,560.766"
"13268","7,0,46,263.42,564.064"
"13269","7,0,46,261.73,567.525"
"13270","7,0,46,259.589,571.165"
"13271","7,0,46,257,575"
"13272","7,0,46,NA,NA"
"13273","NA,NA,NA,NA,NA"
"13274","7,0,47,408,264"
"13275","7,0,47,411.504,265.898"
"13276","7,0,47,414.891,267.463"
"13277","7,0,47,418.16,268.691"
"13278","7,0,47,421.312,269.578"
"13279","7,0,47,424.348,270.119"
"13280","7,0,47,427.266,270.311"
"13281","7,0,47,430.066,270.147"
"13282","7,0,47,432.75,269.625"
"13283","7,0,47,435.316,268.74"
"13284","7,0,47,437.766,267.486"
"13285","7,0,47,440.098,265.861"
"13286","7,0,47,442.312,263.859"
"13287","7,0,47,444.41,261.477"
"13288","7,0,47,446.391,258.709"
"13289","7,0,47,448.254,255.552"
"13290","7,0,47,450,252"
"13291","7,0,47,450,252"
"13292","7,0,47,444.562,245.875"
"13293","7,0,47,436.5,237.5"
"13294","7,0,47,431.836,232.938"
"13295","7,0,47,426.938,228.375"
"13296","7,0,47,421.945,224"
"13297","7,0,47,417,220"
"13298","7,0,47,417,220"
"13299","7,0,47,414.188,230.672"
"13300","7,0,47,411.75,241.625"
"13301","7,0,47,409.688,252.766"
"13302","7,0,47,408,264"
"13303","7,0,47,NA,NA"
"13304","NA,NA,NA,NA,NA"
"13305","7,0,48,408,264"
"13306","7,0,48,411.504,265.898"
"13307","7,0,48,414.891,267.463"
"13308","7,0,48,418.16,268.691"
"13309","7,0,48,421.312,269.578"
"13310","7,0,48,424.348,270.119"
"13311","7,0,48,427.266,270.311"
"13312","7,0,48,430.066,270.147"
"13313","7,0,48,432.75,269.625"
"13314","7,0,48,435.316,268.74"
"13315","7,0,48,437.766,267.486"
"13316","7,0,48,440.098,265.861"
"13317","7,0,48,442.312,263.859"
"13318","7,0,48,444.41,261.477"
"13319","7,0,48,446.391,258.709"
"13320","7,0,48,448.254,255.552"
"13321","7,0,48,450,252"
"13322","7,0,48,450,252"
"13323","7,0,48,458.25,262.312"
"13324","7,0,48,466.5,272.25"
"13325","7,0,48,474.75,281.812"
"13326","7,0,48,483,291"
"13327","7,0,48,483,291"
"13328","7,0,48,481.627,293.918"
"13329","7,0,48,480.135,296.673"
"13330","7,0,48,478.531,299.266"
"13331","7,0,48,476.818,301.697"
"13332","7,0,48,475.002,303.968"
"13333","7,0,48,473.088,306.08"
"13334","7,0,48,471.08,308.033"
"13335","7,0,48,468.984,309.828"
"13336","7,0,48,466.805,311.467"
"13337","7,0,48,464.547,312.949"
"13338","7,0,48,462.215,314.277"
"13339","7,0,48,459.814,315.451"
"13340","7,0,48,457.35,316.472"
"13341","7,0,48,454.827,317.341"
"13342","7,0,48,452.251,318.058"
"13343","7,0,48,449.625,318.625"
"13344","7,0,48,446.955,319.043"
"13345","7,0,48,444.247,319.312"
"13346","7,0,48,438.732,319.408"
"13347","7,0,48,433.121,318.922"
"13348","7,0,48,427.453,317.859"
"13349","7,0,48,421.767,316.229"
"13350","7,0,48,416.104,314.037"
"13351","7,0,48,410.501,311.292"
"13352","7,0,48,405,308"
"13353","7,0,48,405,308"
"13354","7,0,48,404.906,299.016"
"13355","7,0,48,405,290.125"
"13356","7,0,48,405.293,285.041"
"13357","7,0,48,405.844,279.172"
"13358","7,0,48,406.723,272.248"
"13359","7,0,48,408,264"
"13360","7,0,48,NA,NA"
"13361","NA,NA,NA,NA,NA"
"13362","7,0,49,718,722"
"13363","7,0,49,725.061,723.654"
"13364","7,0,49,731.359,724.922"
"13365","7,0,49,737.072,725.885"
"13366","7,0,49,742.375,726.625"
"13367","7,0,49,752.453,727.766"
"13368","7,0,49,763,729"
"13369","7,0,49,763,729"
"13370","7,0,49,765.656,743.531"
"13371","7,0,49,767.75,756.75"
"13372","7,0,49,769.469,770.344"
"13373","7,0,49,771,786"
"13374","7,0,49,771,786"
"13375","7,0,49,764.713,785.117"
"13376","7,0,49,758.578,784"
"13377","7,0,49,752.561,782.695"
"13378","7,0,49,746.625,781.25"
"13379","7,0,49,734.859,778.125"
"13380","7,0,49,723,775"
"13381","7,0,49,723,775"
"13382","7,0,49,722.359,761.516"
"13383","7,0,49,721.625,748.875"
"13384","7,0,49,721.076,742.549"
"13385","7,0,49,720.328,736.047"
"13386","7,0,49,719.322,729.24"
"13387","7,0,49,718,722"
"13388","7,0,49,NA,NA"
"13389","NA,NA,NA,NA,NA"
"13390","7,0,50,522,810"
"13391","7,0,50,527,801.469"
"13392","7,0,50,532.75,791.25"
"13393","7,0,50,538.875,779.906"
"13394","7,0,50,545,768"
"13395","7,0,50,545,768"
"13396","7,0,50,552.094,776.25"
"13397","7,0,50,559.75,784.5"
"13398","7,0,50,567.781,792.75"
"13399","7,0,50,576,801"
"13400","7,0,50,576,801"
"13401","7,0,50,573.954,805.649"
"13402","7,0,50,571.588,809.836"
"13403","7,0,50,568.931,813.542"
"13404","7,0,50,566.016,816.75"
"13405","7,0,50,562.871,819.442"
"13406","7,0,50,559.529,821.602"
"13407","7,0,50,556.02,823.21"
"13408","7,0,50,552.375,824.25"
"13409","7,0,50,550.511,824.551"
"13410","7,0,50,548.624,824.704"
"13411","7,0,50,546.719,824.706"
"13412","7,0,50,544.799,824.555"
"13413","7,0,50,542.868,824.248"
"13414","7,0,50,540.929,823.784"
"13415","7,0,50,538.988,823.161"
"13416","7,0,50,537.047,822.375"
"13417","7,0,50,535.11,821.425"
"13418","7,0,50,533.182,820.31"
"13419","7,0,50,529.365,817.57"
"13420","7,0,50,525.628,814.14"
"13421","7,0,50,522,810"
"13422","7,0,50,NA,NA"
"13423","NA,NA,NA,NA,NA"
"13424","7,0,51,675,709"
"13425","7,0,51,685.516,712.719"
"13426","7,0,51,696.125,716.25"
"13427","7,0,51,706.922,719.406"
"13428","7,0,51,712.42,720.785"
"13429","7,0,51,718,722"
"13430","7,0,51,718,722"
"13431","7,0,51,719.322,729.24"
"13432","7,0,51,720.328,736.047"
"13433","7,0,51,721.076,742.549"
"13434","7,0,51,721.625,748.875"
"13435","7,0,51,722.359,761.516"
"13436","7,0,51,723,775"
"13437","7,0,51,723,775"
"13438","7,0,51,710.594,771.812"
"13439","7,0,51,698.75,768.25"
"13440","7,0,51,687.281,764.312"
"13441","7,0,51,676,760"
"13442","7,0,51,676,760"
"13443","7,0,51,676.285,753.543"
"13444","7,0,51,676.406,747.531"
"13445","7,0,51,676.25,736"
"13446","7,0,51,675.719,723.719"
"13447","7,0,51,675,709"
"13448","7,0,51,NA,NA"
"13449","NA,NA,NA,NA,NA"
"13450","7,0,52,545,768"
"13451","7,0,52,548.797,759.469"
"13452","7,0,52,552.125,751.5"
"13453","7,0,52,556.391,741.281"
"13454","7,0,52,563,726"
"13455","7,0,52,563,726"
"13456","7,0,52,575.25,739.75"
"13457","7,0,52,582.125,747.375"
"13458","7,0,52,592,758"
"13459","7,0,52,592,758"
"13460","7,0,52,583.625,781.375"
"13461","7,0,52,579.766,791.609"
"13462","7,0,52,576,801"
"13463","7,0,52,576,801"
"13464","7,0,52,567.781,792.75"
"13465","7,0,52,559.75,784.5"
"13466","7,0,52,552.094,776.25"
"13467","7,0,52,545,768"
"13468","7,0,52,NA,NA"
"13469","NA,NA,NA,NA,NA"
"13470","7,0,53,525,206"
"13471","7,0,53,530.828,213.484"
